,ID,ORIGINE,T_COMMERCE,DATE_CREATION,CIVIQUE,TYPE_VOIE,LIEN_VOIE,NOM_VOIE,ORIENTATION,ADRESSE,SUITE,CODE_POST,ETAGE,NOM_CENTRE,NOM_ETAB_2023,ID_USAGE1,USAGE1,ID_USAGE2,USAGE2,ID_USAGE3,USAGE3,SCIAN,SITEWEB,ACCES_MOBILITE_REDUITE,VACANT_A_LOUER,A_LOUER_CONTACT,A_LOUER_TELEPHONE,ARRONDISSEMENT,QUARTIER,SDC_NOM,SECTEUR_PME,ENFANT,MULTIUSAGE,MULTIOCCUPANT,COORDY,COORDX,LAT,LONG
259,{b11a046d-d2eb-4042-b576-51be86f253b2},HORS_SDC,Commerce rue,2023/06/13,9198,rue,,Sherbrooke,E,9198 rue Sherbrooke E,,H1L1E5,RC,,CAFÉ SUNSET,D,"Restauration, divertissement et hôtellerie",21,Débits de boisson,90,"Bar, Bistro, Pub, Salles de billard",722410.0,,Accès au niveau du sol,Non,,,Mercier–Hochelaga-Maisonneuve,Tétreaultville,,Centre-Est,Non,Non,Non,5052135.17,302728.95,45.60912466119033,-73.52655367492696
264,{aeb186a3-0fb8-4160-9fcb-4d29bd3ead00},HORS_SDC,Commerce rue,2023/06/13,9208,rue,,Sherbrooke,E,9208 rue Sherbrooke E,,H1L4H8,RC,,MIKISUSHI,D,"Restauration, divertissement et hôtellerie",49,Restauration,120,Restaurants,722511.0,,Accès au niveau du sol,Non,,,Mercier–Hochelaga-Maisonneuve,Tétreaultville,,Centre-Est,Non,Non,Non,5052169.59,302742.0,45.609434420165904,-73.52638651061767
272,{b6c7969f-a828-4afd-86c9-beca68b6f228},HORS_SDC,Commerce rue,2023/06/13,9020,rue,,Sherbrooke,E,9020 rue Sherbrooke E,,H1L1C9,RC,,PIZZA 2 POUR 1,D,"Restauration, divertissement et hôtellerie",49,Restauration,121,"Restaurants rapides, Cantines",722512.0,,Accès au niveau du sol,Non,,,Mercier–Hochelaga-Maisonneuve,Tétreaultville,,Centre-Est,Non,Non,Non,5051960.44,302612.91,45.60755203897444,-73.52804060022457
286,{9bdb064d-c30f-431c-bb70-c0197fa1d416},HORS_SDC,Commerce rue,2023/06/07,8480,rue,,Hochelaga,,8480 rue Hochelaga ,,H1L2L9,RC,,BAR CHEZ REEVES,D,"Restauration, divertissement et hôtellerie",49,Restauration,120,Restaurants,722511.0,,Non,Non,,,Mercier–Hochelaga-Maisonneuve,Tétreaultville,,Centre-Est,Non,Non,Non,5050992.96,303154.05,45.59884788240672,-73.52109976060869
292,{186fe101-c982-41cb-b81b-706ce25bdc36},HORS_SDC,Commerce rue,2023/06/07,8515,rue,,Hochelaga,,8515 rue Hochelaga ,,H1L2M1,RC,,Chez simon,D,"Restauration, divertissement et hôtellerie",49,Restauration,121,"Restaurants rapides, Cantines",722512.0,,Non,Non,,,Mercier–Hochelaga-Maisonneuve,Tétreaultville,,Centre-Est,Non,Non,Non,5051046.07,303132.27,45.59932572910542,-73.52137912501831
310,{6ddec4d4-9007-48fb-b95b-7957a6c076a9},HORS_SDC,Commerce rue,2023/08/07,8720,rue,,Hochelaga,,8720 rue Hochelaga ,,H1L2M7,RC,,RESTO AU GOÛT TROPICAL,D,"Restauration, divertissement et hôtellerie",49,Restauration,120,Restaurants,722511.0,,Non,Non,,,Mercier–Hochelaga-Maisonneuve,Tétreaultville,,Centre-Est,Non,Non,Non,5051294.16,303276.87,45.60155844358171,-73.51952635539612
313,{a01701ff-c970-4649-b9fd-0aa9635db536},HORS_SDC,Commerce rue,2023/06/07,8740,rue,,Hochelaga,,8740 rue Hochelaga ,,H1L2M7,RC,,VIETGRIL,D,"Restauration, divertissement et hôtellerie",49,Restauration,120,Restaurants,722511.0,,Accès au niveau du sol,Non,,,Mercier–Hochelaga-Maisonneuve,Tétreaultville,,Centre-Est,Non,Non,Non,5051307.71,303286.41,45.60168039105288,-73.51940410481903
323,{8dd868cd-bfe0-4fdc-8b08-dad378fc00e9},HORS_SDC,Commerce rue,2023/06/07,2303,rue,,Des Ormeaux,,2303 rue Des Ormeaux ,,H1L4X2,RC,,Mbia grill,D,"Restauration, divertissement et hôtellerie",49,Restauration,120,Restaurants,722511.0,,Non,Non,,,Mercier–Hochelaga-Maisonneuve,Tétreaultville,,Centre-Est,Non,Non,Non,5051279.81,303327.24,45.60142942688165,-73.51888062246391
325,{c9dd9076-7582-4870-a6b9-5747f9252649},HORS_SDC,Commerce rue,2023/06/07,2269,rue,,Des Ormeaux,,2269 rue Des Ormeaux ,,H1L4X2,RC,,BAR TAVERNE DES ORMEAUX,D,"Restauration, divertissement et hôtellerie",21,Débits de boisson,90,"Bar, Bistro, Pub, Salles de billard",722410.0,,Non,Non,,,Mercier–Hochelaga-Maisonneuve,Tétreaultville,,Centre-Est,Non,Non,Non,5051259.73,303370.32,45.60124883145026,-73.51832832528795
330,{7982b702-ac8f-4d70-9c6c-f5c45443ed3d},HORS_SDC,Commerce rue,2023/06/13,8686,rue,,Sherbrooke,E,8686 rue Sherbrooke E,,H1L1B9,RC,,PFK,D,"Restauration, divertissement et hôtellerie",49,Restauration,121,"Restaurants rapides, Cantines",722512.0,,Accès au niveau du sol,Non,,,Mercier–Hochelaga-Maisonneuve,Tétreaultville,,Centre-Est,Non,Non,Non,5051597.33,302463.02,45.60428419006428,-73.52996049491661
348,{434a22d4-08e1-429f-ab22-1bacb75b178f},HORS_SDC,Commerce rue,2023/06/07,8792,rue,,Hochelaga,,8792 rue Hochelaga ,,H1L2M9,RC,,ZYKAA,D,"Restauration, divertissement et hôtellerie",49,Restauration,120,Restaurants,722511.0,,Non,Non,,,Mercier–Hochelaga-Maisonneuve,Tétreaultville,,Centre-Est,Non,Non,Non,5051382.45,303307.92,45.60235296861527,-73.51912859756497
349,{47326555-83c0-4a0d-8f56-2cb61ecfa9af},HORS_SDC,Commerce rue,2023/06/07,8794,rue,,Hochelaga,,8794 rue Hochelaga ,,H1L2M9,RC,,RESTAURANT LE JARDIN HOCHELAGA,D,"Restauration, divertissement et hôtellerie",49,Restauration,120,Restaurants,722511.0,,Non,Non,,,Mercier–Hochelaga-Maisonneuve,Tétreaultville,,Centre-Est,Non,Non,Non,5051388.05,303314.82,45.60240337372903,-73.5190401627317
353,{94e2c8bb-487e-4949-93bd-b6e41edf6ea8},HORS_SDC,Commerce rue,2023/06/07,8812,rue,,Hochelaga,,8812 rue Hochelaga ,,H1L2M9,RC,,SUSHI,D,"Restauration, divertissement et hôtellerie",49,Restauration,121,"Restaurants rapides, Cantines",722512.0,,Accès au niveau du sol,Non,,,Mercier–Hochelaga-Maisonneuve,Tétreaultville,,Centre-Est,Non,Non,Non,5051411.44,303328.44,45.602613872327616,-73.51886563680524
358,{430674f7-493c-4149-a16f-12c19ec928c7},HORS_SDC,Commerce rue,2023/06/07,8866,rue,,Hochelaga,,8866 rue Hochelaga ,,H1L2N2,RC,,Saveurs créoles de Kelly,D,"Restauration, divertissement et hôtellerie",49,Restauration,120,Restaurants,722511.0,,Non,Non,,,Mercier–Hochelaga-Maisonneuve,Tétreaultville,,Centre-Est,Non,Non,Non,5051475.42,303354.57,45.60318963669072,-73.51853086138573
360,{a3ce248a-a2d9-43a0-8e76-c5d1856f25ba},HORS_SDC,Commerce rue,2023/06/07,8865,rue,,Hochelaga,,8865 rue Hochelaga ,,H1L2N3,RC,,CAFÉ NAPOLI,D,"Restauration, divertissement et hôtellerie",49,Restauration,121,"Café, Salon de thé",722512.0,,Non,Non,,,Mercier–Hochelaga-Maisonneuve,Tétreaultville,,Centre-Est,Non,Non,Non,5051485.24,303317.31,45.603277921240846,-73.519008538487
366,{de83fcff-6392-4ed8-8cb4-1826711c990b},HORS_SDC,Commerce rue,2023/06/07,8933,rue,,Hochelaga,,8933 rue Hochelaga ,,H1L2N4,RC,,PUB ROMANA,D,"Restauration, divertissement et hôtellerie",21,Débits de boisson,90,"Bar, Bistro, Pub, Salles de billard",722410.0,,Non,Non,,,Mercier–Hochelaga-Maisonneuve,Tétreaultville,,Centre-Est,Non,Non,Non,5051556.89,303343.53,45.603922702889214,-73.51867262973047
369,{94f6e9da-6474-410d-8eda-1d78c52d2724},HORS_SDC,Commerce rue,2023/06/07,8980,rue,,Hochelaga,,8980 rue Hochelaga ,,H1L2N7,RC,,RESTAURANT DOMINIC'98,D,"Restauration, divertissement et hôtellerie",49,Restauration,121,"Restaurants rapides, Cantines",722512.0,,Non,Non,,,Mercier–Hochelaga-Maisonneuve,Tétreaultville,,Centre-Est,Non,Non,Non,5051608.35,303418.95,45.60438590789975,-73.51770593093411
372,{b6194b4b-69b9-48c2-97c2-cb0da36efe5b},HORS_SDC,Commerce rue,2023/06/07,9007,rue,,Hochelaga,,9007 rue Hochelaga ,,H1L2N6,RC,,LA Bellerive,D,"Restauration, divertissement et hôtellerie",49,Restauration,121,"Restaurants rapides, Cantines",722512.0,,Non,Non,,,Mercier–Hochelaga-Maisonneuve,Tétreaultville,,Centre-Est,Non,Non,Non,5051652.47,303380.49,45.60478283411263,-73.5181991002226
376,{b534f54c-184e-4b35-90d9-56448d51d246},HORS_SDC,Commerce rue,2023/06/07,9079,rue,,Hochelaga,,9079 rue Hochelaga ,,H1L2N8,RC,,Le M café,D,"Restauration, divertissement et hôtellerie",49,Restauration,121,"Café, Salon de thé",722512.0,https://www.facebook.com/LeMcafeMtl/,Accès au niveau du sol,Non,,,Mercier–Hochelaga-Maisonneuve,Tétreaultville,,Centre-Est,Non,Non,Non,5051734.96,303413.42,45.60552516787293,-73.51777718308144
394,{2d0cc11c-7c5a-4b97-8447-300f1c236372},HORS_SDC,Commerce rue,2023/06/07,8628,rue,,Hochelaga,,8628 rue Hochelaga ,,H1L2M4,RC,,CAFÉ SÉSAME,D,"Restauration, divertissement et hôtellerie",49,Restauration,121,"Café, Salon de thé",722512.0,,Non,Non,,,Mercier–Hochelaga-Maisonneuve,Tétreaultville,,Centre-Est,Non,Non,Non,5051176.27,303224.85,45.60049752085418,-73.5201928156582
401,{e9fd0298-d2cd-48d1-966c-7b13f9ee9352},HORS_SDC,Commerce rue,2023/06/07,8647,rue,,Hochelaga,,8647 rue Hochelaga ,,H1L2M5,RC,,Basha,D,"Restauration, divertissement et hôtellerie",49,Restauration,121,"Restaurants rapides, Cantines",722512.0,www.bashaontario.ca,Non,Non,,,Mercier–Hochelaga-Maisonneuve,Tétreaultville,,Centre-Est,Non,Non,Non,5051206.44,303196.35,45.60076893369833,-73.52055824749603
